Date,Campaign,Campaign Id,Ad Group,Ad ID,Impressions,Clicks,Conversions (1-Per-Click),Interactions,Avg Position,Cost
5/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,2,0
6/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,27,1,0,1,2.3,6.5
7/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1.5,0
8/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
9/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,8,0,0,0,3.4,0
10/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,13,0,0,0,1,0
11/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,11,1,0,1,3.1,9.63
12/9/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
13/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,22199,96,0,96,1,80.15
14/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,6,0,0,0,1.2,0
15/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1.5,0
16/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1.4,0
17/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
18/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,14,0,0,0,1.1,0
19/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
20/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,3.2,0
21/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
22/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
23/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,44,0,0,0,1.3,0
24/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,9,0,0,0,1.1,0
25/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1.5,0
26/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1,0
27/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.3,0
28/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,8,0,0,0,1.6,0
29/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,15,1,0,1,1.3,3.31
30/09/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1.5,0
1/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,58,0,0,0,1,0
2/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,26,0,0,0,1,0
3/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,3.3,0
4/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
5/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
6/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1.8,0
7/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,25,1,0,1,2.1,12.97
8/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1,0
9/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1.4,0
10/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,42,1,0,1,2.1,15.22
11/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1,0
12/10/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,11,0,0,0,1.5,0
13/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,28,0,0,0,3,0
14/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,990,4,0,4,1,3.58
15/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,180,1,0,1,1.4,4.37
16/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
17/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
18/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
19/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
20/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1,0
21/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,637,1,0,1,1,4.97
22/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,9,1,0,1,1.2,3.53
23/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,2,0
24/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
25/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,13,0,0,0,1,0
26/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,7,0,0,0,1,0
27/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,348,0,0,0,1,0
28/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1,0
29/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
30/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
31/10/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
1/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,10,0,0,0,1.4,0
2/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,7,0,0,0,1.1,0
3/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1.3,0
4/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1,0
5/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
6/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,11,1,0,1,2.6,42.21
7/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1,0
8/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,20,0,0,0,1,0
9/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
10/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,22,0,0,0,2.1,0
11/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,3,0
12/11/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,19,1,0,1,1.8,10.9
13/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,555,0,0,0,1,0
14/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
15/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,47,0,0,0,2,0
16/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,66,0,0,0,1,0
17/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,2,0
18/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,9,2,0,2,1.1,9.89
19/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,16,0,0,0,1.7,0
20/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,35,0,0,0,1,0
21/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,16,1,0,1,1.1,3.62
22/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,44,0,0,0,2.3,0
23/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,1,0
24/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1.5,0
25/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,29,1,0,1,1,4.36
26/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
27/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
28/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
29/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1.3,0
30/11/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
1/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,5,0,0,0,1.4,0
2/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
3/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,20,0,0,0,1,0
4/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,3,0,0,0,2.7,0
5/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,29,1,0,1,1.6,2.68
6/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,7,0,0,0,1.4,0
7/12/2015 0:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
